Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Country of publisher,APC,Has other fees,bnd1,bnd2,correo
Archivo Español de Arte,http://xn--archivoespaoldearte-53b.revistas.csic.es/index.php/aea/index,https://doaj.org/toc/6c1b41a68bb04a82849aba2fe6c7cb3c,0004-0428,1988-8511,Spain,No,No,aearte.cchs@cchs.csic.es,aearte.cchs@cchs.csic.es,aearte.cchs@cchs.csic.es
Archivos de Pediatría del Uruguay,https://adp.sup.org.uy/index.php/adp,https://doaj.org/toc/2b28fe784fab42358f156cba34e136bf,0004-0584,1688-1249,Uruguay,No,No,,,
Archivos de Zootecnia,http://www.uco.es/organiza/servicios/publica/az/az.htm,https://doaj.org/toc/bf2f18647c0e477ba7c61027e8412ede,0004-0592,1885-4494,Spain,No,No,,archivoszootecnia@uco.es,archivoszootecnia@uco.es
Archivos Latinoamericanos de Nutrición,https://www.alanrevista.org/,https://doaj.org/toc/8cac2328a9914ceb86c5e112273407ef,0004-0622,2309-5806,"Venezuela, Bolivarian Republic of",Yes,No,,,
Arhiv za farmaciju,https://scindeks.ceon.rs/journaldetails.aspx?issn=0004-1963,https://doaj.org/toc/29249776f1224f3fa54d6e2b829b970e,0004-1963,2217-8767,Serbia,No,No,,,
Arquivos de Gastroenterologia,http://www.scielo.br/scielo.php?script=sci_serial&pid=0004-2803&lng=en&nrm=iso,https://doaj.org/toc/5deb98bc37ea42c085709a2f439d0105,0004-2803,1678-4219,Brazil,No,No,,,
Arquivos de Neuro-Psiquiatria,https://www.scielo.br/j/anp/,https://doaj.org/toc/ad64e91526904da7a7e509b303b08c7c,0004-282X,1678-4227,Brazil,Yes,No,revista.arquivos@abneuro.org,revista.arquivos@abneuro.org,revista.arquivos@abneuro.org
Ars Pharmaceutica,http://revistaseug.ugr.es/index.php/ars,https://doaj.org/toc/21902789da92421ca6061616f3971261,0004-2927,2340-9894,Spain,No,No,,,
Revista de la Asociación Odontológica Argentina,https://raoa.aoa.org.ar/,https://doaj.org/toc/6a19a6067c9842468d73d2a3a5d02f00,0004-4881,2683-7226,Argentina,No,No,,violeta.kurlat@aoa.org.ar,violeta.kurlat@aoa.org.ar
The Astronomical Journal,https://iopscience.iop.org/journal/1538-3881,https://doaj.org/toc/cc2daf8dec884dc68320093c035b25e6,0004-6256,1538-3881,United Kingdom,Yes,Yes,,,
Australian Journal of Psychology,https://www.tandfonline.com/raup,https://doaj.org/toc/bfce877dd93745b3a3434b64b9270846,0004-9530,1742-9536,United Kingdom,Yes,No,,,
Automatika,https://www.tandfonline.com/journals/taut,https://doaj.org/toc/69507cf6b3f343cab69b3b262b6e487a,0005-1144,1848-3380,United Kingdom,Yes,No,,,
Contributions to Entomology,https://www.contributions-to-entomology.org/,https://doaj.org/toc/2719a4e7670a4dcc853c7f6cfa7f4cf2,0005-805X,2511-6428,Germany,No,No,,,
"Bijdragen tot de Taal-, Land- en Volkenkunde",https://brill.com/view/journals/bki/bki-overview.xml,https://doaj.org/toc/af694a5567ad41e9b763ed7bad811be5,0006-2294,2213-4379,Netherlands,No,No,,,
Die Bodenkultur,https://sciendo.com/journal/BOKU,https://doaj.org/toc/53c48b8fc87e4e448cd397730022f2a4,0006-5471,2719-5430,Poland,No,No,,,
Bothalia: African Biodiversity & Conservation,http://www.abcjournal.org,https://doaj.org/toc/e599f61d05a6448a9f40b030d43c7869,0006-8241,2311-9284,South Africa,No,No,,,
Brodogradnja,http://www.fsb.hr/brodogradnja,https://doaj.org/toc/79195deddedd4a07a339f5f40b2080a0,0007-215X,1845-5859,Croatia,No,No,,,
California Agriculture,http://calag.ucanr.edu/,https://doaj.org/toc/8befdf0ab76c4822aac098547ce8cbc0,0008-0845,2160-8091,United States,No,No,,,
Caryologia,https://riviste.fupress.net/index.php/caryologia/index,https://doaj.org/toc/50b7ed0af35445ce9131e58218efce69,0008-7114,2165-5391,Italy,Yes,No,,,
Časopis pro Moderní Filologii,http://casopispromodernifilologii.ff.cuni.cz/en/,https://doaj.org/toc/eff4c186be5d4623b5ee87c73c372b68,0008-7386,2336-6591,Czechia,No,No,,,
Anales de la Cátedra Francisco Suárez,http://revistaseug.ugr.es/index.php/acfs,https://doaj.org/toc/d1005852e027471084d025e89602e6b3,0008-7750,2530-3716,Spain,No,No,apena@ugr.es,apena@ugr.es,apena@ugr.es
Česká Literatura,https://asjournals.lib.cas.cz/ceskaliteratura/home?lang=en,https://doaj.org/toc/c5e0756d625a43efa3e29078025ef189,0009-0468,2571-094X,Czechia,No,No,,,
CHIMIA,http://chimia.ch,https://doaj.org/toc/8e21c3a4b64841c5bd02ca5d32329d21,0009-4293,2673-2424,Switzerland,No,No,,,
Ciceroniana,http://www.ojs.unito.it/index.php/COL/index,https://doaj.org/toc/78fb09df0d7349f0a43b6256d79656f2,0009-6687,2532-5299,Italy,No,No,,,
Ciencias Administrativas,https://revistas.unlp.edu.ar/CADM,https://doaj.org/toc/f03309b042864f3faaa3bc452825ce82,0009-6784,2314-3738,Argentina,No,No,revistacadm@econo.unlp.edu.ar,revistacadm@econo.unlp.edu.ar,revistacadm@econo.unlp.edu.ar
Cirugía del Uruguay,https://revista.scu.org.uy/index.php/cir_urug/about,https://doaj.org/toc/d393e98225dd44eb8571199f6f8ddbe4,0009-7381,1688-1281,Uruguay,No,No,,,
Cirugía y Cirujanos,https://cirugiaycirujanos.com,https://doaj.org/toc/9fc83276731c4716a217c02a9c932cf2,0009-7411,2444-054X,Spain,No,No,ssobrinocircir@gmail.com,ssobrinocircir@gmail.com,ssobrinocircir@gmail.com
Collectanea Botanica,http://collectaneabotanica.revistas.csic.es,https://doaj.org/toc/8337be5c7f47495498e9107ea7848b5a,0010-0730,1989-1067,Spain,No,No,,,
Commentarii Mathematici Helvetici,https://ems.press/journals/cmh,https://doaj.org/toc/91d0097eb82a49998bab43ad84af8390,0010-2571,1420-8946,Germany,No,No,,,
Comprehensive Psychiatry,https://www.journals.elsevier.com/comprehensive-psychiatry,https://doaj.org/toc/6f68f031523945f284905aea3af7a098,0010-440X,1532-8384,United States,Yes,No,,,
Croatica Chemica Acta,http://cca.hkd.hr/,https://doaj.org/toc/92c98d9582c64baa832e571ace974968,0011-1643,1334-417X,Croatia,No,No,,,
Current Musicology,https://currentmusicology.columbia.edu/,https://doaj.org/toc/7e7fdafd285c4697be19ce89b99bf487,0011-3735,2640-883X,United States,No,No,,,
Current Therapeutic Research,http://www.journals.elsevier.com/current-therapeutic-research/,https://doaj.org/toc/52fcd12dfe964b85aa3b3287e3da42cd,0011-393X,1879-0313,Netherlands,Yes,No,,,
Dados: Revista de Ciências Sociais,http://www.scielo.br/scielo.php?script=sci_serial&pid=0011-5258&lng=es&nrm=iso,https://doaj.org/toc/b1554ae604a249a0809cdf70ecaf1fdc,0011-5258,1678-4588,Brazil,No,No,,,
Darwiniana,http://www.ojs.darwin.edu.ar/index.php/darwiniana/index,https://doaj.org/toc/889768ae68c34f02853356b947b3ca81,0011-6793,1850-1702,Argentina,No,No,rpozner@darwin.edu.ar,mponce@darwin.edu.ar,rpozner@darwin.edu.ar
Deutsches Ärzteblatt,http://www.aerzteblatt.de/archiv/daetitel,https://doaj.org/toc/c7595edd63f14f0ebb2ab383fb5a4ba4,0012-1207,2199-7292,Germany,No,No,,,
Dialectica,https://dialectica.philosophie.ch/,https://doaj.org/toc/529fa2cc9dd042fc8f1fe618a25db70d,0012-2017,1746-8361,Switzerland,No,No,,,
Drvna Industrija,https://www.drvnaindustrija.com/,https://doaj.org/toc/0ee9a2bffefa4324af6dd5f2abe96d26,0012-6772,1847-1153,Croatia,No,No,,,
Dyna,http://dyna.medellin.unal.edu.co/es/index.php,https://doaj.org/toc/1ae4d1db9bf2408f88a0e67ca32fc92e,0012-7353,2346-2183,Colombia,No,No,dyna@unalmed.edu.co,dyna@unalmed.edu.co,dyna@unalmed.edu.co
Edda,https://www.idunn.no/edda,https://doaj.org/toc/507a820f61c74ff885f5a9aa8a6fcd5d,0013-0818,1500-1989,Norway,No,No,,,
Journal of the Egyptian Public Health Association,https://jepha.springeropen.com/,https://doaj.org/toc/fb4962b5238e4c27ae1bc614ac490642,0013-2446,2090-262X,United Kingdom,No,No,,,
Ekonomista,https://ekonomista.pte.pl/,https://doaj.org/toc/05f44888e5544a17b7bbed8c058f856f,0013-3205,2299-6184,Poland,No,No,,,
Ekonomski Anali,http://www.ekof.bg.ac.rs/publikacije/casopisi/ekonomski-anali/,https://doaj.org/toc/944714032cf347a690634c4259b51ad8,0013-3264,1820-7375,Serbia,No,No,,,
Electronics Letters,https://ietresearch.onlinelibrary.wiley.com/journal/1350911X,https://doaj.org/toc/f4b77ef011a646419112a28f85dd90e6,0013-5194,1350-911X,United Kingdom,Yes,No,,,
Elemente der Mathematik,https://ems.press/journals/em,https://doaj.org/toc/4caf4b22900a454d966b216c18c8d577,0013-6018,1420-8962,Germany,No,No,,,
Emerita,http://emerita.revistas.csic.es/index.php/emerita,https://doaj.org/toc/bc02fc59d54548169dbbde257ec21157,0013-6662,1988-8384,Spain,No,No,,,
Επιθεώρηση Κοινωνικών Ερευνών,https://ejournals.epublishing.ekt.gr/index.php/ekke,https://doaj.org/toc/027f88ac12bc4f40bb11041759e24ad6,0013-9696,2241-8512,Greece,No,No,,,
Építőanyag: Journal of Silicate Based and Composite Materials,http://en.epitoanyag.org.hu/,https://doaj.org/toc/7531baf3313241718db3f27d52aeba51,0013-970X,2064-4477,Hungary,No,No,,,
DIE ERDE: Journal of the Geographical Society of Berlin,http://www.die-erde.org,https://doaj.org/toc/2aeb6413068046d98f7ca2ebbb50e057,0013-9998,,Germany,Yes,No,,,
Estudios Geográficos,http://estudiosgeograficos.revistas.csic.es/index.php/estudiosgeograficos,https://doaj.org/toc/d1c4ef665b5241c9be8964ad2759c4f6,0014-1496,1988-8546,Spain,No,No,,,
Revista de la Facultad de Ciencias Médicas de Córdoba,https://revistas.unc.edu.ar/index.php/med/,https://doaj.org/toc/6c2de5479bea48efaac0fe5be3ba9fe9,0014-6722,1853-0605,Argentina,No,No,,revistafcm@fcm.unc.edu.ar,revistafcm@fcm.unc.edu.ar
Farmacja Polska,https://www.ptfarm.pl/wydawnictwa/czasopisma/farmacja-polska,https://doaj.org/toc/3eb6d9e6c87546158bf4d0474f71fafb,0014-8261,2544-8552,Poland,Yes,No,,,
Fennia: International Journal of Geography,http://ojs.tsv.fi/index.php/fennia,https://doaj.org/toc/cd307e404328449e8d985edb55908914,0015-0010,1798-5617,Finland,No,No,,,
Filosofia,http://www.ojs.unito.it/index.php/filosofia/index,https://doaj.org/toc/88b822676a824738b31dec091a94cff5,0015-1823,2704-8195,Italy,No,No,,,
Filosoﬁcký časopis,http://filcasop.flu.cas.cz/en/,https://doaj.org/toc/d0d504a3125d457bbd61aed31ac50ddb,0015-1831,2570-9232,Czechia,No,No,,,
Florida Entomologist,https://journals.flvc.org/flaent,https://doaj.org/toc/ce1a3bed6bb24cd1a1be2a14ab8fd349,0015-4040,1938-5102,United States,Yes,Yes,,,
Fluoride,http://www.fluorideresearch.org/,https://doaj.org/toc/1f9ea24989614099a6c0240db1dd7a9e,0015-4725,2253-4083,New Zealand,No,No,,,
Revista de Fomento Social,https://www.revistadefomentosocial.es/rfs/index,https://doaj.org/toc/c3c2671822054629acb3bcd01b49b8cb,0015-6043,2695-6462,Spain,No,No,,,
Fysioterapeuten,https://fysioterapeuten.no/fag,https://doaj.org/toc/019f99c3175e4bfeb187d1c480b36f9d,0016-3384,0807-9277,Norway,No,No,,,
Gaceta Médica de México,https://www.gacetamedicademexico.com,https://doaj.org/toc/37bd10bb8ddf49ebb982965a693c9923,0016-3813,2696-1288,Spain,No,No,,,
Gallia,https://journals.openedition.org/gallia,https://doaj.org/toc/3c86d2702ff34232bedcfbf86de6f874,0016-4119,2109-9588,France,No,No,,,
Gayana: Botanica,https://gayanabotanica.cl/,https://doaj.org/toc/0afa573850f04bf9bde73cdbc09c29b9,0016-5301,0717-6643,Chile,Yes,No,,,
Genus,https://genus.springeropen.com/,https://doaj.org/toc/9f2d7b86039844ae96db28987799d029,0016-6987,2035-5556,United Kingdom,Yes,No,,,
Geographica Helvetica,http://www.geographica-helvetica.net/,https://doaj.org/toc/aa31fcf95f1e4b9bb6fdb6ed2d4b5816,0016-7312,2194-8798,Germany,No,No,,,
Netherlands Journal of Geosciences,https://www.cambridge.org/core/journals/netherlands-journal-of-geosciences,https://doaj.org/toc/cc54847bde2b4385a4bea6de0722a809,0016-7746,1573-9708,United Kingdom,Yes,No,,,
Известия высших учебных заведений: Геология и разведка,https://www.geology-mgri.ru/,https://doaj.org/toc/0fa9f8cf55aa4c548ed1cfbf841b0c86,0016-7762,2618-8708,Russian Federation,No,No,,,
Geologija,http://www.geologija-revija.si,https://doaj.org/toc/a2f454ceaca4419eb9d3009fcab7a0f3,0016-7789,1854-620X,Slovenia,No,No,,,
Ghana Medical Journal,http://www.ghanamedj.org/#,https://doaj.org/toc/d31433203d624ebba6f52116d54f4355,0016-9560,2616-163X,Ghana,No,No,,,
Ginekologia Polska,https://journals.viamedica.pl/ginekologia_polska,https://doaj.org/toc/f68deafc1d6f497eae505881ada4f3a1,0017-0011,,Poland,Yes,No,,,
Glasnik Advokatske komore Vojvodine,https://scindeks.ceon.rs/journaldetails.aspx?issn=0017-0933&lang=en,https://doaj.org/toc/60f03ebf5a174bb9a53c10ddea9ce05c,0017-0933,2683-5967,Serbia,No,No,,,
Grasas y Aceites,http://grasasyaceites.revistas.csic.es/index.php/grasasyaceites,https://doaj.org/toc/5c15ea3a079845d48701593afdfe1b77,0017-3495,1988-4214,Spain,No,No,,grasasyaceites@ig.csic.es,grasasyaceites@ig.csic.es
"Greek, Roman, and Byzantine Studies",https://grbs.library.duke.edu/index.php/grbs/index,https://doaj.org/toc/2cd93920696c4fc7ab12555e06843ca9,0017-3916,2159-3159,United States,No,No,,,
Heimen,https://www.idunn.no/heimen,https://doaj.org/toc/8ddc95890ce84c1792ff517d3bb3e8c2,0017-9841,1894-3195,Norway,No,No,,,
Hereditas,https://hereditasjournal.biomedcentral.com/,https://doaj.org/toc/8a5227526e014959b35d59c586560c45,0018-0661,1601-5223,United Kingdom,Yes,No,,,
Hessische Blätter für Volksbildung,https://www.hessische-blaetter.de/,https://doaj.org/toc/b3176d1aaa0b42d38b1dd6fcc1e43904,0018-103X,,Germany,No,No,,,
Hispania,http://hispania.revistas.csic.es/index.php/hispania,https://doaj.org/toc/e1c1bc69301e4ff68a63192d21acf135,0018-2141,1988-8368,Spain,No,No,,,
Hispania Sacra,http://hispaniasacra.revistas.csic.es/index.php/hispaniasacra/index,https://doaj.org/toc/35995483a0f440b997a9033c349d4e9c,0018-215X,1988-4265,Spain,No,No,hispaniasacra.cchs@cchs.csic.es,hispaniasacra.cchs@cchs.csic.es,hispaniasacra.cchs@cchs.csic.es
Historický Časopis,https://www.historickycasopis.sk/indexenglish.php?id=aboutthejournal,https://doaj.org/toc/47172f60d2454b99ba28631a4e9b75db,0018-2575,2585-9099,Slovakia,No,No,,,
Indian Heart Journal,https://www.journals.elsevier.com/indian-heart-journal/,https://doaj.org/toc/c43ef663c0b74bbab4b67e2d7f21cf1e,0019-4832,2213-3763,Netherlands,No,No,,,
The Indian Journal of Agricultural Sciences,https://epubs.icar.org.in/index.php/IJAgS/,https://doaj.org/toc/687476b9d527486f873681fcffa6bea9,0019-5022,2394-3319,India,No,No,,,
Indian Journal of Anaesthesia,http://www.ijaweb.org,https://doaj.org/toc/55f14bb311ea43de97082b221b9f65ad,0019-5049,0976-2817,India,No,No,,,
Indian Journal of Dermatology,http://www.e-ijd.org/,https://doaj.org/toc/a8a04e29010448578126bd2cc9897cd4,0019-5154,1998-3611,India,No,No,,,
Indian Journal of Experimental Biology,http://op.niscpr.res.in/index.php/IJEB,https://doaj.org/toc/7f25f32f7de24e85a43707cc0150b378,0019-5189,0975-1009,India,No,No,,,
Indian Journal of Psychiatry,http://www.indianjpsychiatry.org/,https://doaj.org/toc/c440814e8f4d43048f08abe46a8f8e8d,0019-5545,1998-3794,India,No,No,,,
Indian Journal of Public Health,http://www.ijph.in/,https://doaj.org/toc/7e7111a1dc7a4c8c82985d9ae6081cba,0019-557X,2229-7693,India,Yes,Yes,,,
Informes de la Construccion,http://informesdelaconstruccion.revistas.csic.es,https://doaj.org/toc/ffd0b37ab0684e5e8c46031088885ecc,0020-0883,1988-3234,Spain,No,No,,,
Measurement + Control,https://journals.sagepub.com/home/mac,https://doaj.org/toc/c90bcc49f41d44aeaed0f88023e50e01,0020-2940,2051-8730,United Kingdom,Yes,No,,,
Arquivos do Instituto Biológico,https://www.scielo.br/j/aib/,https://doaj.org/toc/8a1700e46e1240eab0e75363bbf94f86,0020-3653,1808-1657,Brazil,Yes,No,,,
Revista do Instituto de Estudos Brasileiros,http://www.scielo.br/scielo.php?script=sci_serial&pid=0020-3874&lng=en&nrm=iso,https://doaj.org/toc/ff19547b30a64563b9b3590dd1dcf2bd,0020-3874,,Brazil,No,No,,,
Intereconomics,https://www.springer.com/journal/10272,https://doaj.org/toc/2b5cf37375784da4978b265fa7838103,0020-5346,1613-964X,Switzerland,No,No,,,
International Dental Journal,https://www.journals.elsevier.com/international-dental-journal,https://doaj.org/toc/b6435c87c6b24f108d91d9ce48c60a53,0020-6539,1875-595X,United Kingdom,Yes,No,,,
Tetsu to Hagane,https://tetsutohagane.net/en/,https://doaj.org/toc/8e64e7d6af144d22be968bb79a09b6c3,0021-1575,1883-2954,Japan,Yes,Yes,,,
Annali dell'Istituto Superiore di Sanità,https://www.iss.it/en/web/guest/annali,https://doaj.org/toc/5ced07a6ff4d44f4ae475f20fcff073b,0021-2571,2384-8553,Italy,No,No,,,
Jezik,https://hrcak.srce.hr/en/jezik,https://doaj.org/toc/4cf187cf2d4943b89f3b9aacd8823612,0021-6925,1849-174X,Croatia,No,No,,,
Jornal de Pediatria,https://www.journals.elsevier.com/jornal-de-pediatria/,https://doaj.org/toc/3eabedcf15d4401488066034236a3167,0021-7557,1678-4782,Netherlands,Yes,No,jped@jped.com.br,jped@jped.com.br,jped@jped.com.br
Journal of Biological Chemistry,https://www.journals.elsevier.com/journal-of-biological-chemistry,https://doaj.org/toc/75844ed25a2249039bd9c32da9b5f22b,0021-9258,1083-351X,United States,Yes,No,,,
The Journal of Clinical Investigation,https://www.jci.org/,https://doaj.org/toc/e2fa1a820d8242b298d582ccdaa9fcc9,0021-9738,1558-8238,United States,Yes,No,,,
Journal of Dairy Science,https://www.journals.elsevier.com/journal-of-dairy-science,https://doaj.org/toc/5c56de02b0c14376a15e81a98d0a711e,0022-0302,1525-3198,United States,Yes,No,,,
Journal of Glaciology,https://www.cambridge.org/core/journals/journal-of-glaciology,https://doaj.org/toc/327fa8cef0c846e9a5f0a5b8dbcb4575,0022-1430,1727-5652,United Kingdom,Yes,No,,,
Journal of Lipid Research,https://www.journals.elsevier.com/journal-of-lipid-research,https://doaj.org/toc/6786330886d840f791356ad993763edf,0022-2275,1539-7262,United States,Yes,No,,,
Journal of Nematology,https://sciendo.com/pl/journal/JOFNEM,https://doaj.org/toc/a38718287af14b428202cf80b3c78913,0022-300X,2640-396X,Poland,Yes,No,,,
Journal of Postgraduate Medicine,http://www.jpgmonline.com/,https://doaj.org/toc/094b0b109a974192a4d2a3fd6b51abc1,0022-3859,0972-2823,India,No,No,,,
Journal of Scientific and Industrial Research,http://op.niscpr.res.in/index.php/jsir,https://doaj.org/toc/a2660dd8ec484d61b89d0c459a0e33d5,0022-4456,0975-1084,India,No,No,,,
Kemija u Industriji,http://www.hdki.hr/kui,https://doaj.org/toc/190a735b4b1443658b4f69130c4d9285,0022-9830,1334-9090,Croatia,No,No,,,
Клінічна хірургія,http://hirurgiya.com.ua,https://doaj.org/toc/9dbdc0e7227343a4a3b1a14614c6bce4,0023-2130,2522-1396,Ukraine,No,No,,,
Koers : Bulletin for Christian Scholarship,http://www.koersjournal.org.za,https://doaj.org/toc/0afefc8d8c914f9286cf4ab7085ddfaa,0023-270X,2304-8557,South Africa,Yes,No,,,
Komunikaty Mazursko-Warmińskie,http://kmw.ip.olsztyn.pl/en,https://doaj.org/toc/f02ce30759c8414682ec9abcc0260e43,0023-3196,2719-8979,Poland,No,No,,,
Kunst og Kultur,https://www.idunn.no/kk,https://doaj.org/toc/7c85645962b24990adf46dec2ca88466,0023-5415,1504-3029,Norway,No,No,,,
Kwartalnik Historii Kultury Materialnej,https://journals.iaepan.pl/khkm/index,https://doaj.org/toc/42fa3815636c408d8b96b9b35e82b73a,0023-5881,2719-6496,Poland,No,No,,,
Food Science & Technology,https://www.journals.elsevier.com/lwt,https://doaj.org/toc/33e712adda7d42f8870bdb94b22d7320,0023-6438,1096-1127,United Kingdom,Yes,No,,,
Icelandic Medical Journal,http://www.laeknabladid.is/,https://doaj.org/toc/0b47995d88ce4cb1ba2eb4081db12d19,0023-7213,,Iceland,No,No,,,
Landtechnik,http://www.landtechnik-online.eu,https://doaj.org/toc/20c85c28b21a4e42b4b0913a4a67f633,0023-8082,2700-7898,Germany,No,No,,,
Revista Lecciones y Ensayos,http://www.derecho.uba.ar/publicaciones/lye/index.php,https://doaj.org/toc/1fe054ef9b08457bad024c752923d3a4,0024-0079,2362-4620,Argentina,No,No,,,
Les,https://journals.uni-lj.si/les-wood/,https://doaj.org/toc/2e44e578b52940c78a198bc23dba7ea5,0024-1067,2590-9932,Slovenia,No,No,,,
Liječnički vjesnik,http://lijecnicki-vjesnik.hlz.hr/home/,https://doaj.org/toc/67f94f4be05945f6908077807d1f08a6,0024-3477,1849-2177,Croatia,No,No,,,
Linguistica,https://journals.uni-lj.si/linguistica,https://doaj.org/toc/ecff1e6c180c4891867f09a1eb778e9a,0024-3922,2350-420X,Slovenia,No,No,,,
Journal of Folklore and Popular Culture,https://apcz.umk.pl/LL,https://doaj.org/toc/d72ab26fe51d4dd897986a454b3f791a,0024-4708,2544-2872,Poland,No,No,,,
Maal og Minne,http://ojs.novus.no/index.php/MOM,https://doaj.org/toc/7ceeec09e2f745ba8cd32b65bc56922f,0024-855X,1890-5455,Norway,No,No,,,
Indonesian Journal of Geography,http://jurnal.ugm.ac.id/ijg/,https://doaj.org/toc/8e8f3faec811462b9b46f245e57b9b4e,0024-9521,2354-9114,Indonesia,Yes,No,,,
Matematički Vesnik,http://www.vesnik.math.rs,https://doaj.org/toc/7165945aab19437e8e888724aa7ac90f,0025-5165,2406-0682,Serbia,No,No,,,
Medicine,http://journals.lww.com/md-journal,https://doaj.org/toc/2d39367951134c05a1eeb54aaa2e8b66,0025-7974,1536-5964,United States,Yes,No,,,
Journal of the Meteorological Society of Japan,https://www.jstage.jst.go.jp/browse/jmsj,https://doaj.org/toc/ad0b557de1354e1ab46b184b3a0d979b,0026-1165,,Japan,Yes,No,,,
Micronesica,http://micronesica.org,https://doaj.org/toc/bb9ea721f1ad41b8ba261c2b42f6622d,0026-279X,,Guam,Yes,No,,,
Milk Science International,https://openjournals.hs-hannover.de/milkscience,https://doaj.org/toc/b4908ac2fc284b68bb3a72ff8b58663f,0026-3788,2567-9538,Germany,Yes,No,,,
Bulletin of the Mineral Research and Exploration,http://dergi.mta.gov.tr/index.php,https://doaj.org/toc/c7715e89f468415a9904ab3bb9d651cd,0026-4563,,Türkiye,No,No,,,
Mljekarstvo,http://hrcak.srce.hr/index.php?show=casopis&id_casopis=33,https://doaj.org/toc/485b75faee8943b1a37fe43481a38287,0026-704X,1846-4025,Croatia,No,No,,,
