Journal title,Journal URL,URL in DOAJ,When did the journal start to publish all content using an open license?,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Keywords,Languages in which the journal accepts manuscripts,Publisher,Country of publisher,Society or institution,Country of society or institution,Journal license,License attributes,URL for license terms,Machine-readable CC licensing information embedded or displayed in articles,URL to an example page with embedded licensing information,Author holds copyright without restrictions,Copyright information URL,Review process,Review process information URL,Journal plagiarism screening policy,Plagiarism information URL,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,Average number of weeks between article submission and publication,APC,APC information URL,APC amount,Journal waiver policy (for developing country authors etc),Waiver policy information URL,Has other fees,Other fees information URL,Preservation Services,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,Persistent article identifiers,Article metadata includes ORCIDs,Journal complies with I4OC standards for open citations,Does the journal comply to DOAJ's definition of open access?,URL for journal's Open Access statement,Continues,Continued By,LCC Codes,Subjects,DOAJ Seal,Added on Date,Last updated Date,Number of Article Records,Most Recent Article Added
Revista Brasileira de Estudos Pedagógicos,http://rbep.inep.gov.br/ojs3/index.php/rbep/issue/archive,https://doaj.org/toc/e2101c49d2c4413da67985a7378a2a32,2007,RBEP,0034-7183,2176-6681,"brazilian education, educational policies, pedagogy","English, Portuguese, Spanish",Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,Brazil,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,,CC BY-NC,,http://rbep.inep.gov.br/index.php/RBEP/about/editorialPolicies#openAccessPolicy,,,No,,Blind peer review,http://rbep.inep.gov.br/index.php/RBEP/about/editorialPolicies#peerReviewProcess,No,,http://rbep.inep.gov.br/index.php/RBEP/about/editorialPolicies#focusAndScope,http://rbep.inep.gov.br/index.php/RBEP/about/editorialTeam,http://rbep.inep.gov.br/index.php/RBEP/about/submissions#authorGuidelines,24,No,http://www.rbep.inep.gov.br/index.php/RBEP/about/editorialPolicies#custom0,,No,,No,http://www.rbep.inep.gov.br/index.php/RBEP/about/editorialPolicies#custom0,,,,,,DOI,,,Yes,http://rbep.inep.gov.br/index.php/RBEP/about/editorialPolicies#openAccessPolicy,,,LB5-3640,Education: Theory and practice of education,No,2015-05-25T15:53:23Z,2020-11-20T19:04:59Z,424,2022-10-11T07:35:14Z
RAE: Revista de Administração de Empresas,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7590&lng=en&nrm=iso,https://doaj.org/toc/51e6aa36b7bb4c5c9a9d8d87715962ee,1961,RAE,0034-7590,2178-938X,"social sciences, administration, management","English, Portuguese, Spanish",Fundação Getulio Vargas,Brazil,Fundação Getulio Vargas,,CC BY,,http://www.scielo.br/revistas/rae/iaboutj.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902016000300302&lng=en&nrm=iso&tlng=en,No,,Double blind peer review,http://www.scielo.br/revistas/rae/iinstruc.htm,No,,http://www.scielo.br/revistas/rae/iaboutj.htm,http://www.scielo.br/revistas/rae/iedboard.htm,http://www.scielo.br/revistas/rae/iinstruc.htm,32,No,http://www.scielo.br/revistas/rae/iinstruc.htm,,No,,No,http://www.scielo.br/revistas/rae/iinstruc.htm,,,http://bibliotecadigital.fgv.br/ojs/index.php/rae,"Sherpa/Romeo, Diadorim",,DOI,,,Yes,http://www.scielo.br/revistas/rae/isubscrp.htm,,,HF5001-6182,Social Sciences: Commerce: Business,No,2009-06-12T13:41:15Z,2017-08-15T12:22:19Z,3968,2023-02-25T16:18:03Z
Boletim da Sociedade Paranaense de Matemática,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/index,https://doaj.org/toc/6c67b57948b84591852016e5edd089ed,2002,,0037-8712,2175-1188,"pure mathematics, applied mathematics","English, Portuguese",Sociedade Brasileira de Matemática,Brazil,,,CC BY,,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/editorialPolicies#sectionPolicies,,,No,,Double blind peer review,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/editorialPolicies#peerReviewProcess,No,,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/editorialPolicies#focusAndScope,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/editorialTeam,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/submissions#authorGuidelines,25,No,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/submissions#onlineSubmissions,,No,,No,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/submissions#onlineSubmissions,,,,Diadorim,,DOI,,,Yes,http://www.periodicos.uem.br/ojs/index.php/BSocParanMat/about/editorialPolicies#openAccessPolicy,,,QA1-939,Science: Mathematics,No,2010-08-24T14:33:57Z,2017-03-20T10:15:54Z,529,2018-02-08T19:22:46Z
Veritas,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas,https://doaj.org/toc/0402c3d950174e498b777e88a7c7f52b,2005,Verita: Revista trimestral de filosofia da PUCRS,0042-3955,1984-6746,religion,"English, French, German, Italian, Latin, Portuguese, Spanish",Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,Pontifícia Universidade Católica do Rio Grande do Sul,,CC BY,,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/index,Yes,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/article/view/15317/11345,Yes,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/submissions#copyrightNotice,Double blind peer review,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/editorialPolicies#peerReviewProcess,No,,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/editorialPolicies#focusAndScope,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/editorialPolicies#custom-1,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/submissions#authorGuidelines,10,No,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/editorialPolicies#custom-7,,No,,No,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/editorialPolicies#custom-7,,Biblioteca Nacional do Brasil,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/editorialPolicies#archiving,"Sherpa/Romeo, Diadorim",,DOI,,,Yes,http://revistaseletronicas.pucrs.br/ojs/index.php/veritas/about/editorialPolicies#openAccessPolicy,,,B1-5802,Philosophy. Psychology. Religion: Philosophy (General),Yes,2007-10-02T17:48:38Z,2020-10-16T12:39:48Z,858,2023-03-03T14:22:34Z
Vojnotehnički Glasnik,http://www.vtg.mod.gov.rs/index-e.html,https://doaj.org/toc/0310c0550a134f2ba6a53e54ab177224,2011,Military Technical Courier,0042-8469,2217-4753,"mechanical engineering, electrical engineering, weapons, telecommunications, aviation, it",English,University of Defence in Belgrade,Serbia,Ministry of Defence of the Republic of Serbia,,CC BY,,http://aseestant.ceon.rs/index.php/vtg/issue/current,Yes,http://aseestant.ceon.rs/index.php/vtg/article/view/5368,Yes,http://aseestant.ceon.rs/index.php/vtg/about/submissions#copyrightNotice,Double blind peer review,http://www.vtg.mod.gov.rs/peer-review-process.html#.V3OjSbiLTNM,Yes,http://www.vtg.mod.gov.rs/index-e.html#.VL0jwUfF9pI,http://www.vtg.mod.gov.rs/about-journal.html#.U81Mfvl_v4A,http://www.vtg.mod.gov.rs/editorial-team.html,http://www.vtg.mod.gov.rs/call-for-papers.html,12,No,http://www.vtg.mod.gov.rs/publication-ethics-statement.html,,No,,No,,,of Serbia,http://scindeks-repozitorijum.ceon.rs/default.aspx?issn=0042-8469,Sherpa/Romeo,,DOI,,,Yes,http://www.vtg.mod.gov.rs/contents-of-the-current-issue.html,,,U|TA1-2040,Military Science | Technology: Engineering (General). Civil engineering (General),Yes,2014-07-23T08:27:13Z,2021-10-20T16:31:38Z,1212,2023-02-05T12:37:03Z
Cuadernos de Historia del Arte,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/index,https://doaj.org/toc/041baa2be2da41f3888b2025e1b8a549,2017,,0070-1688,2618-5555,"humanities, social sciences, history of art, cultural heritage management, latin america",Spanish,Universidad Nacional de Cuyo. Facultad de Filosofía y Letras. Insstituto de Historia del Arte,Argentina,Universidad Nacional de Cuyo. Facultad de Filosofía y Letras. Insstituto de Historia del Arte,,CC BY-NC-SA,,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/catalogacionycalidadeditorial,Yes,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/article/view/2376/1743,Yes,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/derechoautor,Double blind peer review,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/evaluacion,No,,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/enfoqueyalcance,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/consejoeditorial,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/normasparaautores,17,No,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/enfoqueyalcance,,No,,No,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/enfoqueyalcance,,,,,,,,,Yes,http://revistas.uncu.edu.ar/ojs3/index.php/cuadernoshistoarte/enfoqueyalcance,,,NX1-820|NX440-632,Fine Arts: Arts in general: History of the arts,No,2020-05-28T18:46:31Z,2020-05-28T18:46:31Z,0,
Eclética Química,http://revista.iq.unesp.br/ojs/index.php/ecletica/,https://doaj.org/toc/daf4a57a0c1c4f9dbdd7a76d8b345efc,1997,,0100-4670,1678-4618,"theoretical studies, chemistry, methodology development, catalysis and catalysts",English,Universidade Estadual Paulista,Brazil,"Universidade Estadual Paulista, Instituto de Química",,CC BY,,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/submissions#copyrightNotice,,,No,,Double blind peer review,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/editorialPolicies#peerReviewProcess,No,,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/editorialPolicies#focusAndScope,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/editorialTeam,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/submissions#authorGuidelines,28,No,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/editorialPolicies#focusAndScope,,No,,No,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/editorialPolicies#focusAndScope,,,http://revista.iq.unesp.br/ojs/index.php/ecletica/about/editorialPolicies#custom-0,,,DOI,,,Yes,http://revista.iq.unesp.br/ojs/index.php/ecletica/index,,,QD1-999,Science: Chemistry,No,2019-05-22T16:26:52Z,2019-05-22T16:26:52Z,889,2023-01-25T16:11:57Z
Letras de Hoje,http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-7726,https://doaj.org/toc/6db9ddd154b046c9bbe1a28aad76bdbc,1967,"Letras de Hoje: Estudos e Debates em Linguística, Literatura e Língua Portuguesa",0101-3335,1984-7726,"linguistics, literature, literary theory","Portuguese, Spanish",Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,,,CC BY,,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/index,Yes,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/article/view/18475/12371,No,,Double blind peer review,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/editorialPolicies#peerReviewProcess,No,,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/editorialPolicies#focusAndScope,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/editorialTeam,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/submissions#authorGuidelines,10,No,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/editorialPolicies#custom-8,,No,,No,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/editorialPolicies#custom-8,Cariniana Network,,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/editorialPolicies#archiving,"Sherpa/Romeo, Diadorim",,DOI,,,Yes,http://revistaseletronicas.pucrs.br/ojs/index.php/fale/about/editorialPolicies#openAccessPolicy,,,P1-1091|PN1-6790,Language and Literature: Philology. Linguistics | Language and Literature: Literature (General),No,2007-09-26T12:08:01Z,2020-10-16T12:44:13Z,2228,2023-03-03T14:22:34Z
Estudos Ibero Americanos,https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana,https://doaj.org/toc/6f3540f4f2254d7d909ea4b3accbce7c,2004,,0101-4064,1980-864X,"history, ibero-america, latin america","Spanish, Portuguese",Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,Pontifícia Universidade Católica do Rio Grande do Sul,,CC BY,,https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about/submissions,Yes,http://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/article/view/14023/12461,Yes,http://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about/submissions,Double blind peer review,https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about/,No,,https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about/,http://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about/editorialTeam,https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about/submissions,10,No,https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about/submissions,,No,,No,,,,,"Sherpa/Romeo, Diadorim",,DOI,,,Yes,https://revistaseletronicas.pucrs.br/ojs/index.php/iberoamericana/about,,,F1201-3799,History America: Latin America. Spanish America,No,2007-09-26T11:21:43Z,2022-05-20T09:01:14Z,756,2023-03-03T14:22:34Z
Educação,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced,https://doaj.org/toc/80300295b4ed4f2d80c12d7088900269,2004,,0101-465X,1981-2582,pedagogy,"Portuguese, Spanish",Editora da Pontifícia Universidade Católica do Rio Grande do Sul - EDIPUCRS,Brazil,Pontifícia Universidade Católica do Rio Grande do Sul,,CC BY,,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/index,Yes,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/article/view/18082/12443,No,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/about/submissions#copyrightNotice,Double blind peer review,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/about/submissions#authorGuidelines,No,,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/about/editorialPolicies#focusAndScope,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/about/displayMembership/84,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/about/submissions#authorGuidelines,10,No,http://revistaseletronicas.pucrs.br/ojs/index.php/faced/about/editorialPolicies#custom-7,,No,,No,http://revistaseletronicas.pucrs.br/ojs/index.php/faced/about/editorialPolicies#custom-7,,Biblioteca Nacional do Brasil,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/about/editorialPolicies#archiving,"Sherpa/Romeo, Diadorim",,DOI,,,Yes,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced/about/editorialPolicies#openAccessPolicy,,,L7-991,Education: Education (General),No,2007-09-26T09:55:46Z,2020-10-16T12:45:33Z,782,2023-03-03T14:22:34Z
